Frame,X,Y,Z,QX,QY,QZ,QW,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.000098,-0.000161,0.799087,0.004109,0.002375,0.021641,0.999755,-0.004409,0.060532,0.166431,0.176276,-0.097473,-0.023962,0.040313,-0.119414,-0.385817,0.206674,-0.180823,0.039829,0.016061,-0.006092,0.001142,-0.068885,1.474532,-0.172469,1.220329,0.281551,0.229778,0.19613,0.063265,-1.454644,0.000167,1.374207,-0.017476,0.069432,-0.162874
1,-0.000335,-0.000131,0.79921,0.007093,-0.006311,0.023914,0.999669,0.02258,0.055132,0.170017,0.154695,-0.087593,-0.025523,0.068572,-0.128489,-0.405084,0.191232,-0.177135,0.045392,0.011406,-0.011419,0.017212,-0.123204,1.413082,-0.163013,1.111023,0.375086,0.378047,0.181134,0.106936,-1.415889,-0.045866,1.2756,-0.031492,0.150529,-0.206176
2,-0.000799,-0.000019,0.799261,0.009208,-0.013241,0.024876,0.99956,0.039094,0.050337,0.169404,0.149267,-0.084507,-0.025314,0.084919,-0.133349,-0.408766,0.187169,-0.174972,0.046738,0.007133,-0.015489,0.030049,-0.139914,1.382011,-0.132149,1.046472,0.448907,0.452373,0.151249,0.144295,-1.395998,-0.102097,1.201817,-0.060916,0.210389,-0.226788
3,-0.001233,0.000126,0.799263,0.010712,-0.018414,0.025211,0.999455,0.050271,0.046889,0.169126,0.147973,-0.083756,-0.02488,0.095584,-0.136637,-0.409506,0.185973,-0.173811,0.047213,0.003945,-0.018441,0.039439,-0.137805,1.364064,-0.089162,1.010012,0.510649,0.477448,0.122529,0.175918,-1.378939,-0.167451,1.144465,-0.099014,0.254333,-0.236735
4,-0.001658,0.000292,0.799255,0.011758,-0.022224,0.024945,0.999373,0.058253,0.044568,0.169799,0.147597,-0.083552,-0.024508,0.102611,-0.138919,-0.408924,0.185652,-0.172943,0.047411,0.001692,-0.020525,0.046138,-0.128029,1.350911,-0.041547,0.9886,0.566193,0.481991,0.097591,0.20219,-1.359902,-0.239166,1.096634,-0.141136,0.287804,-0.239115
5,-0.002059,0.000473,0.799249,0.012475,-0.024945,0.024235,0.999317,0.063925,0.043062,0.171261,0.147522,-0.08352,-0.024197,0.107037,-0.140493,-0.40744,0.185728,-0.172214,0.047456,0.000169,-0.021925,0.050869,-0.115165,1.338976,0.005806,0.971807,0.617879,0.481813,0.075453,0.224147,-1.338715,-0.311914,1.054229,-0.186531,0.314307,-0.232542
6,-0.002433,0.000652,0.799247,0.012944,-0.026824,0.023261,0.999286,0.067795,0.042172,0.173197,0.147647,-0.083579,-0.023958,0.10959,-0.141526,-0.405434,0.186009,-0.17161,0.047416,-0.000834,-0.022793,0.054237,-0.101334,1.327442,0.052325,0.956468,0.665409,0.480432,0.056591,0.242993,-1.316891,-0.379979,1.015794,-0.235948,0.335463,-0.215801
7,-0.002778,0.000819,0.799252,0.013229,-0.028002,0.022204,0.999274,0.070146,0.04173,0.175284,0.147913,-0.083669,-0.023789,0.110786,-0.142112,-0.403264,0.186223,-0.171041,0.04731,-0.00149,-0.023254,0.056758,-0.087925,1.316233,0.098824,0.942753,0.708049,0.479066,0.040959,0.258862,-1.295785,-0.441692,0.980459,-0.289006,0.350638,-0.197039
8,-0.003107,0.000977,0.799267,0.013387,-0.02865,0.021167,0.999276,0.071318,0.041563,0.177317,0.148248,-0.08372,-0.023647,0.111051,-0.142383,-0.401149,0.186224,-0.170388,0.047163,-0.001925,-0.023406,0.058757,-0.07487,1.305339,0.144371,0.930231,0.746517,0.477597,0.028785,0.271457,-1.274901,-0.497821,0.94826,-0.342278,0.360156,-0.179928
9,-0.003433,0.001134,0.799288,0.01344,-0.028964,0.020292,0.999284,0.071621,0.04156,0.179035,0.148678,-0.083702,-0.023487,0.110752,-0.142455,-0.399348,0.186102,-0.169699,0.047015,-0.002203,-0.023354,0.060346,-0.062427,1.294701,0.187521,0.918739,0.781771,0.476074,0.019346,0.281037,-1.254355,-0.548414,0.92009,-0.393023,0.365629,-0.163107
